name,mappable,coordinates,notes
Africa,TRUE,"5.369085, -9.236846",
Celie and Albert House,TRUE,"32.99976696381827, -83.5599840688572",Picked a location around Gray and Macon
Celie Childhood home,TRUE,"33.02050024570996, -83.3850089234675",
Celie's house ,TRUE,"33.0095, -83.5600",Picked a location close to Albert's house in Georgia
Church,FALSE,"33.000293380412984, -83.56244100330822",Somewhere near Celie's house
Dakar,TRUE,"14.716488953668934, -17.468232710460033",Capital of Senegal
Governor's Mansion,FALSE,"6.302579359507444, -10.795601285031939",
Harpo and Sofia's house,FALSE,"33.00023939282284, -83.55957640425451",
Lisbon,TRUE,"38.716196, -9.126094",
London,TRUE,"51.505154784266445, -0.14148688031308002",
"Memphis, TN",TRUE,"35.15221330647191, -90.06958208625237",
Miss Milli's house,FALSE,"32.999402580951326, -83.557033670263",
Monrovia,TRUE,"6.310806, -10.810706",
Nettie's Hut,FALSE,"6.246110209792395, -10.380621829537105",
Odessa's House,FALSE,"33.0024258637983, -83.55732334881901",Driving distance from Miss Milli's house 
Olinka Village,TRUE,"6.251275915595865, -10.378889436404226",
Prison,FALSE,"33.00170364598371, -83.55012045508698",Prison sofia goes to
Samuel and Corrine's hut,FALSE,"6.246110209792395, -10.380621629537105",
Sofia's sister's house,FALSE,"32.99444862740186, -83.55602370868331",
Southampton,TRUE,"50.906648, -1.411139",
The Cassava Fields,TRUE,"6.245249253868171, -10.380188581253885",
The Forest,FALSE,"6.248908306766154, -10.335151559799025",
Town,FALSE,"33.00400454352426, -83.5461746372433",
Tucson,TRUE,"32.2515753718344, -110.97931956143863","Tucson, Arizona. Where Germaine and Shug live for part of story"
Unknown place where Shug buys her car,FALSE,"35.1423794559834, -90.05283734326031",
Unknown place where Shug buys her clothing,FALSE,"35.13713103323558, -90.05711609106096",
Unknown town in Georgia,FALSE,,
Unknown USA location where Nettie stays with Corrine and Samuel,FALSE,,
Unnamed store in town (dress),FALSE,"33.00212893882091, -83.55048908066463",
Unnamed store in town (fabric),FALSE,"33.00037436173625, -83.55293525513748",
West Coast Africa,TRUE,"16.186562850355916, -16.665029397655395",